"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260717","9호선","마곡나루(서울식물원)","9469","9043","20260720"
"20260717","일산선","마두","5009","5005","20260720"
"20260717","7호선","마들","9071","8266","20260720"
"20260717","경춘선","마석","3676","3562","20260720"
"20260717","5호선","마장","4069","3681","20260720"
"20260717","5호선","마천","4404","4241","20260720"
"20260717","5호선","마포","7886","7933","20260720"
"20260717","6호선","마포구청","9613","8659","20260720"
"20260717","중앙선","망우","6470","6350","20260720"
"20260717","6호선","망원","15749","16988","20260720"
"20260717","경원선","망월사","6032","6110","20260720"
"20260717","분당선","망포","9024","8359","20260720"
"20260717","분당선","매교","3143","3163","20260720"
"20260717","3호선","매봉","6267","6186","20260720"
"20260717","분당선","매탄권선","3474","3142","20260720"
"20260717","7호선","먹골","7620","7360","20260720"
"20260717","7호선","면목","10453","9934","20260720"
"20260717","4호선","명동","37788","40541","20260720"
"20260717","5호선","명일","5516","5315","20260720"
"20260717","경부선","명학","4104","3887","20260720"
"20260717","8호선","모란","4068","3404","20260720"
"20260717","분당선","모란","14640","15124","20260720"
"20260717","5호선","목동","10286","10362","20260720"
"20260717","8호선","몽촌토성(평화의문)","6085","6236","20260720"
"20260717","3호선","무악재","2849","2757","20260720"
"20260717","2호선","문래","12145","13145","20260720"
"20260717","경의선","문산","5758","5209","20260720"
"20260717","8호선","문정","8466","8523","20260720"
"20260717","분당선","미금","9851","9874","20260720"
"20260717","5호선","미사","13708","13529","20260720"
"20260717","4호선","미아(서울사이버대학)","11448","10518","20260720"
"20260717","4호선","미아사거리","20617","19884","20260720"
"20260717","안산선","반월","3270","3174","20260720"
"20260717","7호선","반포","4921","4662","20260720"
"20260717","5호선","발산","14063","14991","20260720"
"20260717","2호선","방배","8558","8714","20260720"
"20260717","5호선","방이","5082","5013","20260720"
"20260717","경원선","방학","7523","7302","20260720"
"20260717","5호선","방화","5055","4827","20260720"
"20260717","장항선","배방","1303","1130","20260720"
"20260717","경의선","백마","4970","4538","20260720"
"20260717","일산선","백석","7501","7583","20260720"
"20260717","경춘선","백양리","203","203","20260720"
"20260717","경인선","백운","5181","4852","20260720"
"20260717","6호선","버티고개","1549","1519","20260720"
"20260717","과천선","범계","21429","21311","20260720"
"20260717","경춘선","별내","2170","1891","20260720"
"20260717","경부선","병점","13281","13009","20260720"
"20260717","신림선","보라매","2750","2400","20260720"
"20260717","7호선","보라매","4583","4361","20260720"
"20260717","신림선","보라매공원","1377","1481","20260720"
"20260717","신림선","보라매병원","3360","3293","20260720"
"20260717","6호선","보문","5645","4964","20260720"
"20260717","우이신설선","보문","1383","1428","20260720"
"20260717","경원선","보산","1628","1412","20260720"
"20260717","분당선","보정","1470","1343","20260720"
"20260717","8호선","복정","5260","4702","20260720"
